Flight,Average casualties per accident,Cumulative Average Casualties per Accident,Cumulative Probability
Airbus A380,0.0,0.0,0.0
Airbus A321N,0.0,0.0,0.0
Airbus A320N,0.02450980392,0.02450980392,0.0008926921290229443
Embraer jet,0.2342857143,0.25879551822,0.009425808663972697
Boeing 737 NG,0.4783950617,0.73719057992,0.026849836515723695
Airbus A321,0.8855140187,1.62270459862,0.059101885418812845
Airbus A320,0.887675507,2.51038010562,0.09143265970047636
Boeing 777,0.9801084991,3.49048860472,0.1271300135263515
DM80,2.713157895,6.20364649972,0.2259482131973246
Boeing 737 MAX,2.724409449,8.928055948719999,0.32517621515508305
Boeing 737,2.98094028,11.90899622872,0.4337475417038045
DC9,3.986975398,15.89597162672,0.5789605172143292
Boeing 747,5.33744856,21.23342018672,0.7733602086247061
Boeing 767,6.222634508,27.45605469472,1.0
